Żywność,Kalorie,JednostkaKalorii,JednostkaWagi,Kategoria,Porcja,WagaPorcji
Przecier jabłkowy,62,kcal,g,owoce w puszkach,szklanka,113
Sałatka owocowa w puszce,50,kcal,g,owoce w puszkach,szklanka,114
Suszone owoce,243,kcal,g,owoce w puszkach,szklanka,259
Truskawki w puszce,92,kcal,g,owoce w puszkach,paczka,300
Winogrona w puszce,76,kcal,g,owoce w puszkach,szklanka,254
Wiśnie morello w puszce,81,kcal,g,owoce w puszkach,szklanka,256
Wiśnie w puszce,54,kcal,g,owoce w puszkach,szklanka,270
Śliwki w puszce,58,kcal,g,owoce w puszkach,szklanka,250
Żurawina w puszce,178,kcal,g,owoce w puszkach,śliwka,46
Frytki,312,kcal,g,produkty ziemniaczane,sztuka,40
Gnocchi,133,kcal,g,produkty ziemniaczane,porcja,117
Kluski z ziemniaków,124,kcal,g,produkty ziemniaczane,szklanka,188
Knedle,120,kcal,g,produkty ziemniaczane,sztuka,40
Knedle ze śliwkami,147,kcal,g,produkty ziemniaczane,knedle,95
Kopytka,125,kcal,g,produkty ziemniaczane,porcja,300
Krokiety,127,kcal,g,produkty ziemniaczane,porcja,200
Maniok jadalny,160,kcal,g,produkty ziemniaczane,porcja,138
Omlet,154,kcal,g,produkty ziemniaczane,korzeń,408
Pierogi,124,kcal,g,produkty ziemniaczane,omlet,61
Placki ziemniaczane,185,kcal,g,produkty ziemniaczane,sztuka,40
Placki ziemniaczane,166,kcal,g,produkty ziemniaczane,sztuka,74
Pyzy,424,kcal,g,produkty ziemniaczane,sztuka,50
Sałatka ziemniaczana,143,kcal,g,produkty ziemniaczane,ziemniak,10
Skrobia ziemniaczana,331,kcal,g,produkty ziemniaczane,szklanka,250
Słodki ziemniak,92,kcal,g,produkty ziemniaczane,łyżka,12
Talarki ziemniaczane,123,kcal,g,produkty ziemniaczane,ziemniak,114
Ziemniak,77,kcal,g,produkty ziemniaczane,porcja,100
Ziemniaki białe,94,kcal,g,produkty ziemniaczane,ziemniak,214
Ziemniaki gotowane,87,kcal,g,produkty ziemniaczane,ziemniak,138
Ziemniaki gratin,132,kcal,g,produkty ziemniaczane,ziemniak,136
Ziemniaki pieczone,93,kcal,g,produkty ziemniaczane,szklanka,245
Ziemniaki smażone,312,kcal,g,produkty ziemniaczane,ziemniak,173
Ziemniaki tłuczone,89,kcal,g,produkty ziemniaczane,porcja,117
Ziemniaki Yukon Gold,82,kcal,g,produkty ziemniaczane,szklanka,242
Ziemniaki z rozmarynem,93,kcal,g,produkty ziemniaczane,ziemniak,136
Botwina,19,kcal,g,warzywa,bakłażan,458
Brokuł,34,kcal,g,warzywa,liść,48
Brukiew,38,kcal,g,warzywa,brokuł,608
Brukselka,43,kcal,g,warzywa,brukiew,386
Burak,43,kcal,g,warzywa,sztuka,19
Cebula dymka,32,kcal,g,warzywa,burak,82
Cebula dymka,40,kcal,g,warzywa,cebulka,15
Chrzan,48,kcal,g,warzywa,cebula,85
Cukinia,17,kcal,g,warzywa,łyżka ,15
Cykoria,72,kcal,g,warzywa,cukinia,196
Czarne oliwki,115,kcal,g,warzywa,główka,53
Czosnek,149,kcal,g,warzywa,oliwka,2.7
Dynia,26,kcal,g,warzywa,ząbek,3
Endywia,17,kcal,g,warzywa,dynia,196
Fasolka zielona,31,kcal,g,warzywa,główka,513
Fenkuł,31,kcal,g,warzywa,szklanka,110
Groszek,81,kcal,g,warzywa,fenkuł,234
Grzyby,22,kcal,g,warzywa,szklanka,98
Jarmuż,49,kcal,g,warzywa,grzyb,5.4
Kalafior,25,kcal,g,warzywa,szklanka, posiekany,67
Kalarepa,27,kcal,g,warzywa,kalafior,13
Kapusta,25,kcal,g,warzywa,kalarepa,400
Kapusta chińska,16,kcal,g,warzywa,główka,908
Kapusta czerwona,31,kcal,g,warzywa,główka,840
Kapusta kiszona,17,kcal,g,warzywa,liść,22
Kapusta sarepsa,27,kcal,g,warzywa,porcja,150
Karczoch,47,kcal,g,warzywa,szklanka, posiekana,56
Kukurydza,365,kcal,g,warzywa,karczoch,128
Liście kapusty warzywnej,32,kcal,g,warzywa,szklanka,154
Liście rzepy,20,kcal,g,warzywa,szklanka, surowe,36
Marchew,41,kcal,g,warzywa,pęczek,170
Nori,35,kcal,g,warzywa,marchew,61
Ogórek,16,kcal,g,warzywa,liść,2.6
Ogórek kiszony,14,kcal,g,warzywa,ogórek,410
Oliwki zielone,115,kcal,g,warzywa,ogórek,65
Oliwki zielone,115,kcal,g,warzywa,oliwka,2.7
Papryka,27,kcal,g,warzywa,oliwka,2.7
Pasternak,75,kcal,g,warzywa,papryka,75
Piżmian (okra),33,kcal,g,warzywa,pasternak,170
Pomidor,18,kcal,g,warzywa,sztuka,12
Pomidor koktajlowy,100,kcal,g,warzywa,pomidor,111
Por,61,kcal,g,warzywa,pomidor koktajlowy,20
Rukola,25,kcal,g,warzywa,por,89
Rzepa,28,kcal,g,warzywa,liść,2
Rzodkiewka,16,kcal,g,warzywa,rzepa,122
Sałata,15,kcal,g,warzywa,rzodkiewka,4.5
Seler,16,kcal,g,warzywa,główka,600
Szalotka,72,kcal,g,warzywa,sztuka,40
Szczypiorek,30,kcal,g,warzywa,szalotka,25
Szparagi,20,kcal,g,warzywa,łyżka, posiekany,3
Szpinak,23,kcal,g,warzywa,sztuka,12
Szpinak w sosie śmietanowym,74,kcal,g,warzywa,porcja,340
Tykwa,14,kcal,g,warzywa,szklanka,200
Wasabi,109,kcal,g,warzywa,tykwa,771
Ziemniak,77,kcal,g,warzywa,korzeń,169
Ziemniak słodki,86,kcal,g,warzywa,ziemniak,213
Brazer kanapka z KFC,190,kcal,g,fast food,burger,219
Brazer Twister z KFC,188,kcal,g,fast food,kanapka,249
Burger wegetariański,181,kcal,g,fast food,sztuka,229
Cheeseburger,263,kcal,g,fast food,burger,215
Cheeseburger z McDonald’s,263,kcal,g,fast food,burger,156
Chicken Strips z McDonald’s,203,kcal,g,fast food,kanapka,114
Chikker z McDonald’s,258,kcal,g,fast food,porcja,150
Chop Suey,172,kcal,g,fast food,burger,151
Cicken Pizziola,141,kcal,g,fast food,porcja,340
Double Whopper z Burger King,239,kcal,g,fast food,kanapka,320
Fajita z kurczakiem,147,kcal,g,fast food,burger,374
