Żywność,Kalorie,JednostkaKalorii,JednostkaWagi,Kategoria,Porcja,WagaPorcji
Pierś z kaczki,201,kcal,g,drob i ptactwo,2 piersi,864
Pierś z kurczaka,172,kcal,g,drob i ptactwo,pierś,73
Pierś z przepiórki,123,kcal,g,drob i ptactwo,pierś,200
Przepiórka,227,kcal,g,drob i ptactwo,pierś,56
Pularda,200,kcal,g,drob i ptactwo,przepiórka,92
Skrzydełka z indyka,221,kcal,g,drob i ptactwo,porcja,100
Skrzydełka z kurczaka,266,kcal,g,drob i ptactwo,skrzydełko,24
Stek z indyka,189,kcal,g,drob i ptactwo,skrzydełko,53
Struś,145,kcal,g,drob i ptactwo,stek,170
Udka z kurczaka,174,kcal,g,drob i ptactwo,porcja,85
Udko z bażanta,239,kcal,g,drob i ptactwo,udko,546
Udko z indyka,208,kcal,g,drob i ptactwo,udko,107
Żołądki z kurczaka,154,kcal,g,drob i ptactwo,udko,546
Antylopa,150,kcal,g,dziczyzna,porcja,184
Baranina,234,kcal,g,dziczyzna,porcja,340
Bawół,131,kcal,g,dziczyzna,porcja,240
Bażant,239,kcal,g,dziczyzna,porcja,340
Bizon,171,kcal,g,dziczyzna,porcja,169
Bóbr,212,kcal,g,dziczyzna,porcja,194
Dziczyzna,164,kcal,g,dziczyzna,porcja,313
Dzik,160,kcal,g,dziczyzna,porcja,157
Gęś,238,kcal,g,dziczyzna,porcja,340
Jagnięcina,202,kcal,g,dziczyzna,2 gęsi,591
Kaczka krzyżówka,211,kcal,g,dziczyzna,porcja,193
Karibu,159,kcal,g,dziczyzna,porcja,265
Królik,197,kcal,g,dziczyzna,porcja,102
Niedźwiedź,259,kcal,g,dziczyzna,porcja,313
Polędwica z bizona,171,kcal,g,dziczyzna,porcja,277
Polędwica z dziczyzny,158,kcal,g,dziczyzna,porcja,194
Renifer,200,kcal,g,dziczyzna,porcja,340
Struś,175,kcal,g,dziczyzna,porcja,340
Szop,255,kcal,g,dziczyzna,porcja,93
Wiewiórka,173,kcal,g,dziczyzna,porcja,356
Łoś,134,kcal,g,dziczyzna,porcja,313
Bekon,407,kcal,g,kielbasa,porcja,170
Bockwurst,301,kcal,g,kielbasa,plasterek,26
Bratwurst,297,kcal,g,kielbasa,kiełbasa,91
Chorizo,455,kcal,g,kielbasa,bratwurst,66
Frankfurterki,305,kcal,g,kielbasa,plasterek,4
Hot Dog,278,kcal,g,kielbasa,frankfurterka,45
Kaszanka,379,kcal,g,kielbasa,hot dog,52
Kaszanka,379,kcal,g,kielbasa,plasterek,25
Kiełbasa,309,kcal,g,kielbasa,plasterek,25
Kiełbasa biała,313,kcal,g,kielbasa,porcja,150
Kiełbasa bolońska,247,kcal,g,kielbasa,porcja,226
Kiełbasa wędzona,301,kcal,g,kielbasa,plasterek,23
Kiełbasa włoska,149,kcal,g,kielbasa,porcja,76
Knackwurst,307,kcal,g,kielbasa,porcja,168
Landjaeger,352,kcal,g,kielbasa,porcja,144
Metka,310,kcal,g,kielbasa,landjaeger,56.8
Mielonka,117,kcal,g,kielbasa,porcja,28
Mięso z kurczaka,79,kcal,g,kielbasa,plasterek,9.3
Mortadella,311,kcal,g,kielbasa,plasterek,21
Parówki,230,kcal,g,kielbasa,plasterek,15
Pastrami,133,kcal,g,kielbasa,kiełbasa,16
Pasztet,319,kcal,g,kielbasa,plasterek,29
Pasztetowa,326,kcal,g,kielbasa,łyżka,13
Pierś z kurczaka,79,kcal,g,kielbasa,plasterek,18
Salami,336,kcal,g,kielbasa,plasterek,21
Salceson,157,kcal,g,kielbasa,plasterek,12.3
Sałatka z kurczaka,81,kcal,g,kielbasa,plasterek,28
Szynka gotowana,133,kcal,g,kielbasa,porcja,344
Szynka parmezańska,195,kcal,g,kielbasa,plasterek,33
Wieprzowina,247,kcal,g,kielbasa,plasterek,9
Wołowina peklowana,153,kcal,g,kielbasa,plasterek,21
Baranina,234,kcal,g,mieso i produkty miesne,stek,281
Dziczyzna,164,kcal,g,mieso i produkty miesne,porcja,240
Filet wołowy,267,kcal,g,mieso i produkty miesne,porcja,157
Golonka wieprzowa,327,kcal,g,mieso i produkty miesne,filet,104
Indyk,189,kcal,g,mieso i produkty miesne,kawałek,52
Jagnięcina,202,kcal,g,mieso i produkty miesne,indyk,3812
Kaczka,337,kcal,g,mieso i produkty miesne,porcja,193
Karkówka,277,kcal,g,mieso i produkty miesne,2 kaczki,634
Karkówka wieprzowa,169,kcal,g,mieso i produkty miesne,stek,310
Kotlet panierowany,156,kcal,g,mieso i produkty miesne,kawałek,150
Kotlet schabowy,196,kcal,g,mieso i produkty miesne,kotlet,130
Kurczak,219,kcal,g,mieso i produkty miesne,kawałek,131
Mięso z kurczaka,172,kcal,g,mieso i produkty miesne,2 kurczaka,334
Mostek wołowy,242,kcal,g,mieso i produkty miesne,pierś,200
Pieczeń wieprzowa,254,kcal,g,mieso i produkty miesne,sztuka,1780
Pieczeń wołowa,140,kcal,g,mieso i produkty miesne,pieczeń,830
Pieczone żeberka,333,kcal,g,mieso i produkty miesne,pieczeń,515
Pierś z indyka,135,kcal,g,mieso i produkty miesne,porcja,113
Pierś z kurczaka,172,kcal,g,mieso i produkty miesne,2 piersi,864
Podroby z kurczaka,158,kcal,g,mieso i produkty miesne,pierś,200
Polędwica wieprzowa,204,kcal,g,mieso i produkty miesne,szklanka,145
Polędwica wołowa,218,kcal,g,mieso i produkty miesne,kawałek,83
Rostbef,130,kcal,g,mieso i produkty miesne,stek,140
Skrzydełka z kurczaka,266,kcal,g,mieso i produkty miesne,kawałek,10
Skrzydła z indyka,221,kcal,g,mieso i produkty miesne,skrzydełko,29
Stek z indyka,189,kcal,g,mieso i produkty miesne,skrzydełko,24
Stek z łaty wołowej,194,kcal,g,mieso i produkty miesne,stek,170
Stek z łopatki wieprzowej,196,kcal,g,mieso i produkty miesne,stek,188
Struś,145,kcal,g,mieso i produkty miesne,stek,264
Szynka,163,kcal,g,mieso i produkty miesne,porcja,85
Tłuszcz z kurczaka,898,kcal,g,mieso i produkty miesne,plasterek,145
Udko z indyka,208,kcal,g,mieso i produkty miesne,szklanka,205
Udko z kurczaka,174,kcal,g,mieso i produkty miesne,udko,546
Udziec wołowy,182,kcal,g,mieso i produkty miesne,udko,199
Wieprzowina,196,kcal,g,mieso i produkty miesne,stek,236
Wołowina,248,kcal,g,mieso i produkty miesne,kawałek,185
Wołowina mielona,246,kcal,g,mieso i produkty miesne,stek,164
Wątróbka z kurczaka,167,kcal,g,mieso i produkty miesne,kawałek,70
Łopatka wieprzowa,269,kcal,g,mieso i produkty miesne,wątróbka,44
Żeberka,238,kcal,g,mieso i produkty miesne,sztuka,262
Żeberka wieprzowe,212,kcal,g,mieso i produkty miesne,sztuka,1400
Żeberka wołowe,238,kcal,g,mieso i produkty miesne,żeberko,70
Żołądki z kurczaka,146,kcal,g,mieso i produkty miesne,sztuka,225
Móżdżek cielęcy,136,kcal,g,podroby,porcja,85
Móżdżek wieprzowy,138,kcal,g,podroby,sztuka,339
Móżdżek wołowy,196,kcal,g,podroby,sztuka,85
Nerki cielęce,163,kcal,g,podroby,sztuka,351
Nerki wieprzowe,151,kcal,g,podroby,sztuka,184
Nerki wołowe,158,kcal,g,podroby,sztuka,85
Ogon wieprzowy,273,kcal,g,podroby,sztuka,85
Ogon wołowy,184,kcal,g,podroby,sztuka,85
Ozór cielęcy,202,kcal,g,podroby,porcja,100
Ozór wieprzowy,271,kcal,g,podroby,sztuka,255
Ozór wołowy,284,kcal,g,podroby,ozór,231
Podroby indycze,173,kcal,g,podroby,ozór,85
Podroby z kurczaka,277,kcal,g,podroby,sztuka,95
Płuca wieprzowe,99,kcal,g,podroby,szklanka,145
Płuca wołowe,120,kcal,g,podroby,sztuka,300
Ratki kurze,215,kcal,g,podroby,sztuka,303
Serce cielęce,186,kcal,g,podroby,ratka,36
Serce indycze,174,kcal,g,podroby,sztuka,198
Serce kurczaka,185,kcal,g,podroby,serce,20
Serce wieprzowe,148,kcal,g,podroby,serce,6.1
Serce wołowe,165,kcal,g,podroby,serce,129
Wątroba indycza,189,kcal,g,podroby,serce,85
Wątroba wieprzowa,165,kcal,g,podroby,wątroba,53
Wątroba wołowa,191,kcal,g,podroby,wątroba,85
Wątróbka cielęca,192,kcal,g,podroby,plasterek,68
Wątróbka gęsia,133,kcal,g,podroby,plasterek,80
Wątróbka kacza,136,kcal,g,podroby,wątroba,94
Wątróbka z kurczaka,172,kcal,g,podroby,wątroba,44
Śledziona wieprzowa,219,kcal,g,podroby,wątroba,44
Śledziona wołowa,271,kcal,g,podroby,sztuka,245
Żołądek indyczy,148,kcal,g,podroby,sztuka,222
Żołądek wieprzowy,157,kcal,g,podroby,porcja,100
Żołądek z kurczaka,148,kcal,g,podroby,sztuka,85
Capicola,110,kcal,g,wedliny i mieso obiadowe,plasterek,9
Chorizo,455,kcal,g,wedliny i mieso obiadowe,plasterek,21
Filet z piersi kurczaka,79,kcal,g,wedliny i mieso obiadowe,plasterek,3.4
Kiełbasa bolońska,247,kcal,g,wedliny i mieso obiadowe,plasterek,21
Kiełbasa szynkowa,164,kcal,g,wedliny i mieso obiadowe,plasterek,23
Ozór,284,kcal,g,wedliny i mieso obiadowe,plasterek,23
Pastrami,133,kcal,g,wedliny i mieso obiadowe,plasterek,28
Pasztetowa,326,kcal,g,wedliny i mieso obiadowe,plasterek,29
Pieczeń wieprzowa,247,kcal,g,wedliny i mieso obiadowe,plasterek,18
Pieczeń wołowa,267,kcal,g,wedliny i mieso obiadowe,plasterek,21
Pierś z indyka,104,kcal,g,wedliny i mieso obiadowe,plasterek,21
Pierś z indyka pieczona w piekarniku,104,kcal,g,wedliny i mieso obiadowe,plasterek,21
Pierś z indyka wędzona,104,kcal,g,wedliny i mieso obiadowe,plasterek,21
Prosciutto,195,kcal,g,wedliny i mieso obiadowe,plasterek,21
Salami,336,kcal,g,wedliny i mieso obiadowe,plasterek,9
Salami wołowe,375,kcal,g,wedliny i mieso obiadowe,plasterek,12.3
Salami z indyka,152,kcal,g,wedliny i mieso obiadowe,plasterek,10
Salceson,157,kcal,g,wedliny i mieso obiadowe,plasterek,23
Szynka,145,kcal,g,wedliny i mieso obiadowe,plasterek,28
Szynka gotowana,126,kcal,g,wedliny i mieso obiadowe,plasterek,23
Szynka parmeńska,345,kcal,g,wedliny i mieso obiadowe,plasterek,21
Szynka pieczona,343,kcal,g,wedliny i mieso obiadowe,plasterek,11
Szynka serrano,300,kcal,g,wedliny i mieso obiadowe,plasterek,21
Szynka wędzona,107,kcal,g,wedliny i mieso obiadowe,plasterek,15
Szynka z indyka,126,kcal,g,wedliny i mieso obiadowe,plasterek,21
Wołowina peklowana,251,kcal,g,wedliny i mieso obiadowe,plasterek,21
Bekon wieprzowy,407,kcal,g,wieprzowina,plasterek,26
Boczek wieprzowy,518,kcal,g,wieprzowina,plasterek,26
Flaczki wieprzowe,233,kcal,g,wieprzowina,porcja,454
Golonka wieprzowa,172,kcal,g,wieprzowina,porcja,113
Gulasz wieprzowy,73,kcal,g,wieprzowina,porcja,140
Karkówka wieprzowa,232,kcal,g,wieprzowina,porcja,361
Kiełbasa wieprzowa,339,kcal,g,wieprzowina,porcja,170
Klops,89,kcal,g,wieprzowina,kiełbasa,48
Klops wieprzowy,243,kcal,g,wieprzowina,plasterek,250
Kotlety wieprzowe,131,kcal,g,wieprzowina,plasterek,250
Mięso solone,286,kcal,g,wieprzowina,paczka,283
Nóżki wieprzowe,201,kcal,g,wieprzowina,porcja,30
Ogon wieprzowy,396,kcal,g,wieprzowina,sztuka,231
Pieczeń wieprzowa,194,kcal,g,wieprzowina,sztuka,275
Ratki wieprzowe,243,kcal,g,wieprzowina,kawałek,263
Salceson,309,kcal,g,wieprzowina,porcja,85
Schab wieprzowy,143,kcal,g,wieprzowina,plasterek,25
Smalec,898,kcal,g,wieprzowina,sztuka,333
Stek z łopatki wieprzowej,232,kcal,g,wieprzowina,łyżka,13
Szynka parmeńska,261,kcal,g,wieprzowina,porcja,113
Szynka serrano,339,kcal,g,wieprzowina,porcja,12
Tłuszcz wieprzowy,638,kcal,g,wieprzowina,paczka,500
Ucho wieprzowe,166,kcal,g,wieprzowina,paczka,200
Wieprzowina mielona,263,kcal,g,wieprzowina,ucho,111
Wieprzowina solona,286,kcal,g,wieprzowina,paczka,500
Łopatka wieprzowa,269,kcal,g,wieprzowina,paczka,340
Żeberka płaty wieprzowe,396,kcal,g,wieprzowina,sztuka,262
Żeberka wieprzowe,292,kcal,g,wieprzowina,sztuka,84
Żołądek wieprzowy,250,kcal,g,wieprzowina,sztuka,84
Filet wołowy,189,kcal,g,wolowina i cielecina,kawałek,291
Filet z polędwicy wołowej,207,kcal,g,wolowina i cielecina,porcja,168
Flaczki wołowe,94,kcal,g,wolowina i cielecina,porcja,168
Gicz cielęca,211,kcal,g,wolowina i cielecina,porcja,85
Goleń cielęca,177,kcal,g,wolowina i cielecina,kawałek,272
Grasica wołowa,319,kcal,g,wolowina i cielecina,kawałek,223
Gulasz wołowy,123,kcal,g,wolowina i cielecina,kawałek,381
Karczek wołowy,213,kcal,g,wolowina i cielecina,szklanka,227
Karkówka mielona,250,kcal,g,wolowina i cielecina,kawałek,224
Karkówka pieczona,141,kcal,g,wolowina i cielecina,porcja,168
Karkówka wołowa,137,kcal,g,wolowina i cielecina,kawałek,224
Mielona cielęcina,143,kcal,g,wolowina i cielecina,kawałek,340
Mielona wołowina,241,kcal,g,wolowina i cielecina,porcja,168
Mielonka wołowa,247,kcal,g,wolowina i cielecina,porcja,168
Mostek wołowy,137,kcal,g,wolowina i cielecina,kawałek,64
Pieczeń wołowa,187,kcal,g,wolowina i cielecina,kawałek,178
Pieczona cielęcina,175,kcal,g,wolowina i cielecina,plasterek,341
Piersi cielęce,282,kcal,g,wolowina i cielecina,kawałek,208
Polędwica cielęca,217,kcal,g,wolowina i cielecina,kawałek,291
Rostbef,117,kcal,g,wolowina i cielecina,kawałek,229
Rozbratel,217,kcal,g,wolowina i cielecina,plasterki,34
Rumsztyk,171,kcal,g,wolowina i cielecina,stek,281
Schab z kością,404,kcal,g,wolowina i cielecina,stek,205
Stek z mostka,205,kcal,g,wolowina i cielecina,kawałek,278
Stek z łaty,194,kcal,g,wolowina i cielecina,porcja,168
Trzustka wołowa,271,kcal,g,wolowina i cielecina,stek,320
Tłuszcz wołowy,854,kcal,g,wolowina i cielecina,kawałek,222
Wołowina,171,kcal,g,wolowina i cielecina,paczka,500
Wołowina gulaszowa,191,kcal,g,wolowina i cielecina,porcja,168
Zrazowa cielęca,204,kcal,g,wolowina i cielecina,porcja,252
Zrazowa wołowa,182,kcal,g,wolowina i cielecina,kawałek,183
Łopatka cielęca,183,kcal,g,wolowina i cielecina,porcja,85
Łój wołowy,902,kcal,g,wolowina i cielecina,kawałek,283
Żeberka wołowe,196,kcal,g,wolowina i cielecina,szklanka,205
Babeczka,305,kcal,g,ciastka i ciasta,kawałek,28
Babka marmurkowa,339,kcal,g,ciastka i ciasta,babeczka,43
Babka piaskowa,390,kcal,g,ciastka i ciasta,kawałek,109
Beza,285,kcal,g,ciastka i ciasta,porcja,55
Biszkopt,289,kcal,g,ciastka i ciasta,kawałek,127
Biszkopty czarno-białe,381,kcal,g,ciastka i ciasta,kawałek,38
Ciastka Profiterole,334,kcal,g,ciastka i ciasta,kawałek,113
Ciasto cytrynowe,352,kcal,g,ciastka i ciasta,porcja,113
Ciasto czekoladowe,389,kcal,g,ciastka i ciasta,kawałek,66
Ciasto czekoladowe bez mąki,509,kcal,g,ciastka i ciasta,kawałek,138
Ciasto drożdżowe,375,kcal,g,ciastka i ciasta,kawałek,80
Ciasto francuskie,558,kcal,g,ciastka i ciasta,plasterek,40
Ciasto jagodowe,232,kcal,g,ciastka i ciasta,kawałek,245
Ciasto kokosowe,356,kcal,g,ciastka i ciasta,kawałek,125
Ciasto marchewkowe,408,kcal,g,ciastka i ciasta,kawałek,66
Ciasto na maślance,380,kcal,g,ciastka i ciasta,kawałek,133
Ciasto owocowe,324,kcal,g,ciastka i ciasta,kawałek,144
Ciasto Tiramisu,291,kcal,g,ciastka i ciasta,kawałek,43
Ciasto Trzech Króli,377,kcal,g,ciastka i ciasta,kawałek,108
Ciasto z bananów i toffi,395,kcal,g,ciastka i ciasta,kawałek,91
Ciasto z kruszonką,441,kcal,g,ciastka i ciasta,porcja,100
Ciasto z lodów,200,kcal,g,ciastka i ciasta,kawałek,57
Ciasto z okrągłej formy,370,kcal,g,ciastka i ciasta,kawałek,120
Ciasto śliwkowe,109,kcal,g,ciastka i ciasta,plasterek,91
Deser Trifle,180,kcal,g,ciastka i ciasta,kawałek,150
Duet,267,kcal,g,ciastka i ciasta,porcja,100
Flan,145,kcal,g,ciastka i ciasta,plasterek,87
Gofry,312,kcal,g,ciastka i ciasta,2 szklanki,153
Keks,376,kcal,g,ciastka i ciasta,gofer,33
Kremówka papieska,520,kcal,g,ciastka i ciasta,plasterek,55
Makowiec,394,kcal,g,ciastka i ciasta,kawałek,150
Mazurek wielkanocny,475,kcal,g,ciastka i ciasta,kawałek,90
Miodownik,282,kcal,g,ciastka i ciasta,kawałek,81
Muffinka czekoladowa,420,kcal,g,ciastka i ciasta,kawałek,91
Muffinka jagodowa,377,kcal,g,ciastka i ciasta,muffinka,100
Naleśnik,227,kcal,g,ciastka i ciasta,muffinka,57
Piernik,356,kcal,g,ciastka i ciasta,naleśnik,38
Placek brzoskwiniowy,223,kcal,g,ciastka i ciasta,kawałek,74
Placek z malinami,240,kcal,g,ciastka i ciasta,kawałek,117
Placek z rabarbarem,245,kcal,g,ciastka i ciasta,kawałek,137
Placek z truskawkami,230,kcal,g,ciastka i ciasta,kawałek,137
Placek z truskawkami i rabarbarem,281,kcal,g,ciastka i ciasta,kawałek,167
Placek z wiśniami,260,kcal,g,ciastka i ciasta,kawałek,150
Profiterole,334,kcal,g,ciastka i ciasta,kawałek,125
Pączek,403,kcal,g,ciastka i ciasta,profiterole,130
Pączek francuski,412,kcal,g,ciastka i ciasta,pączek,60
Rolada,439,kcal,g,ciastka i ciasta,pączek,41
Rolada biszkoptowa z kremem,428,kcal,g,ciastka i ciasta,kawałek,31
Rożek jabłkowy,348,kcal,g,ciastka i ciasta,plasterek,20
Sernik,321,kcal,g,ciastka i ciasta,kawałek,82
Strucla z makiem,345,kcal,g,ciastka i ciasta,kawałek,80
Strudel jabłkowy,274,kcal,g,ciastka i ciasta,plasterek,70
Szarlotka,252,kcal,g,ciastka i ciasta,kawałek,71
Sękacz,477,kcal,g,ciastka i ciasta,porcja,100
Tarta Tatin,210,kcal,g,ciastka i ciasta,kawałek,50
Tiramisu,283,kcal,g,ciastka i ciasta,kawałek,100
Tort Sachera,352,kcal,g,ciastka i ciasta,porcja,174
Tort Szwarcwaldzki,264,kcal,g,ciastka i ciasta,kawałek,125
Tort urodzinowy,465,kcal,g,ciastka i ciasta,kawałek,107
Tort weselny,381,kcal,g,ciastka i ciasta,kawałek,85
Tort z musu czekoladowego,260,kcal,g,ciastka i ciasta,kawałek,109
Wuzetka,353,kcal,g,ciastka i ciasta,kawałek,95
After Eight,452,kcal,g,cukierki i slodycze,sztuka,41
Baton czekoladowy,533,kcal,g,cukierki i slodycze,after eight,8
Baton granola,452,kcal,g,cukierki i slodycze,baton,45
Baton Mars,448,kcal,g,cukierki i slodycze,baton,21
Baton z orzeszków ziemnych,533,kcal,g,cukierki i slodycze,baton,45
Bounty,488,kcal,g,cukierki i slodycze,baton,45
Celebrations,490,kcal,g,cukierki i slodycze,sztuka,57
Chałwa,522,kcal,g,cukierki i slodycze,sztuka,9
Chipsy czekoladowe,493,kcal,g,cukierki i slodycze,baton,50
Chlebojajo,196,kcal,g,cukierki i slodycze,łyżka,14
Ciasteczka Speculoos,469,kcal,g,cukierki i slodycze,chlebojajo,85
Ciasteczka spritz,500,kcal,g,cukierki i slodycze,sztuka,8
Ciasteczka z masłem orzechowym,475,kcal,g,cukierki i slodycze,sztuka,11
Ciastka,488,kcal,g,cukierki i slodycze,sztuka,20
Ciastko szczęścia,214,kcal,g,cukierki i slodycze,ciastko,16
Czekolada,529,kcal,g,cukierki i slodycze,ciastko,7
Czekoladki Lindt,548,kcal,g,cukierki i slodycze,sztuka,7
Delicje,370,kcal,g,cukierki i slodycze,sztuka,5
Drażetki,429,kcal,g,cukierki i slodycze,sztuka,15
Duplo,552,kcal,g,cukierki i slodycze, sztuk,65
Fasolki żelowe,354,kcal,g,cukierki i slodycze,baton,18
Ferrero Rocher,576,kcal,g,cukierki i slodycze, sztuk,30
Gofry,272,kcal,g,cukierki i slodycze,sztuka,12.5
Halls,390,kcal,g,cukierki i slodycze,gofr,35
Hanuta,541,kcal,g,cukierki i slodycze,sztuka,3
Jabłko w polewie cukrowej,152,kcal,g,cukierki i slodycze,hanuta,22
Jeżyki,481,kcal,g,cukierki i slodycze,jabłko,141
Kit Kat,521,kcal,g,cukierki i slodycze,sztuka,15
Kopiko,438,kcal,g,cukierki i slodycze,baton,45
Krakersy zwierzątka,446,kcal,g,cukierki i slodycze,sztuka,4
Krokant z orzeszków ziemnych,183,kcal,g,cukierki i slodycze, krakersów,19
Laseczka cukrowa,423,kcal,g,cukierki i slodycze,2 szklanki,36
Lion,493,kcal,g,cukierki i slodycze,sztuka,14
Lizak,392,kcal,g,cukierki i slodycze,baton,45
Lukrecja,375,kcal,g,cukierki i slodycze,lizak,12
M&M’s,479,kcal,g,cukierki i slodycze,sztuk,29
Maltesers,498,kcal,g,cukierki i slodycze, sztuk,14
Marcepan,411,kcal,g,cukierki i slodycze,paczka,37
Mars,449,kcal,g,cukierki i slodycze,sztuka,20
Mentos,390,kcal,g,cukierki i slodycze,baton,51
Michałki,518,kcal,g,cukierki i slodycze,sztuka,2
Milky Way,449,kcal,g,cukierki i slodycze,sztuka,15
Pawełek,466,kcal,g,cukierki i slodycze,baton,22
Pestki dyni,560,kcal,g,cukierki i slodycze,baton,45
Pianka żelowa,318,kcal,g,cukierki i slodycze,łyżka,10
Pieczone migdały,452,kcal,g,cukierki i slodycze,sztuk,39
Pop Rocks,358,kcal,g,cukierki i slodycze,baton,21
Popcorn,582,kcal,g,cukierki i slodycze,paczka,10
Prince Polo,535,kcal,g,cukierki i slodycze,szklanka,11
Princessa,542,kcal,g,cukierki i slodycze,baton,18
Pudding ryżowy,134,kcal,g,cukierki i slodycze,sztuka,37
Rolo,474,kcal,g,cukierki i slodycze,szklanka,225
Semolina,340,kcal,g,cukierki i slodycze,sztuk,30
Sezamki,512,kcal,g,cukierki i slodycze,łyżka,11
Skittles,405,kcal,g,cukierki i slodycze,sztuka,9
Smarties,357,kcal,g,cukierki i slodycze, sztuk,22
Snickers,484,kcal,g,cukierki i slodycze,paczka,7
Tic Tac,395,kcal,g,cukierki i slodycze,baton,50
Toblerone,525,kcal,g,cukierki i slodycze,sztuk,5
Trifle,186,kcal,g,cukierki i slodycze,sztuka,9
Twix,495,kcal,g,cukierki i slodycze,2 trifle,250
Wata cukrowa,643,kcal,g,cukierki i slodycze,baton,25
Werther’s Original,428,kcal,g,cukierki i slodycze,porcja ,75
WW,516,kcal,g,cukierki i slodycze,cukierek,5
Żelki misie,316,kcal,g,cukierki i slodycze,sztuka,45
Big Milk,140,kcal,g,lody i desery mrozone,gałka,72
Carte d’Or Tiramisu,190,kcal,g,lody i desery mrozone,big milk,62
Gigant Koral,140,kcal,g,lody i desery mrozone,gałka,72
Grand Koral,204,kcal,g,lody i desery mrozone,gigant,90
Lody Cookie Dough,200,kcal,g,lody i desery mrozone,gałka,72
Lody czekoladowe,216,kcal,g,lody i desery mrozone,2 szklanki,65
Lody Drumsticks,255,kcal,g,lody i desery mrozone,gałka,72
Lody kawowe,236,kcal,g,lody i desery mrozone,rożek,141
Lody miętowe z posypką czekoladową,239,kcal,g,lody i desery mrozone,gałka,72
Lody Sundae,215,kcal,g,lody i desery mrozone,gałka,72
Lody truskawkowe,236,kcal,g,lody i desery mrozone,gałka,72
Lody typu śnieżka,237,kcal,g,lody i desery mrozone,gałka,72
Lody waniliowe,201,kcal,g,lody i desery mrozone,batonik,112
Lody włoskie,222,kcal,g,lody i desery mrozone,gałka,72
Lody z posypką czekoladową,215,kcal,g,lody i desery mrozone,szklanka,86
Lód Snickers,360,kcal,g,lody i desery mrozone,gałka,72
Magnum,300,kcal,g,lody i desery mrozone,batonik,50
Magnum Gold,341,kcal,g,lody i desery mrozone,magnum,86
Magnum w białej polewie,297,kcal,g,lody i desery mrozone,magnum,85
Magnum z migdałami,315,kcal,g,lody i desery mrozone,magnum,86
Magnum z podwójnym karmelem,355,kcal,g,lody i desery mrozone,magnum,86
Magnum z podwójną czekoladą,380,kcal,g,lody i desery mrozone,magnum,86
McFlurry,153,kcal,g,lody i desery mrozone,magnum,86
McFlurry Oreo,186,kcal,g,lody i desery mrozone,mcflurry,134
McFlurry Smarties,198,kcal,g,lody i desery mrozone,mcflurry,183
Milord Nordis,304,kcal,g,lody i desery mrozone,mcflurry,202
Mini Milk,120,kcal,g,lody i desery mrozone,sztuka,140
Oskar Koral,308,kcal,g,lody i desery mrozone,mini milk,25
Rożek Koral,264,kcal,g,lody i desery mrozone,oskar,90
Solero,100,kcal,g,lody i desery mrozone,gałka,72
Solo Koral,121,kcal,g,lody i desery mrozone,solero,75
Sundae truskawkowe,158,kcal,g,lody i desery mrozone,sztuka,115
Top Milker Koral,94,kcal,g,lody i desery mrozone,sundae,178
Tytan Zielona Budka,249,kcal,g,lody i desery mrozone,top milker,110
Advocaat,0,kcal,g,napoje alkoholowe i napitki,kieliszek,44 
Amaretto,0,kcal,g,napoje alkoholowe i napitki,kieliszek,44 
Asti,0,kcal,g,napoje alkoholowe i napitki,kieliszek,25 
Baileys,0,kcal,g,napoje alkoholowe i napitki,lampka,100 
Bailey’s Irish Cream,0,kcal,g,napoje alkoholowe i napitki,kieliszek,44 
Bimber,0,kcal,g,napoje alkoholowe i napitki,kieliszek,44 
Blue Curacao,0,kcal,g,napoje alkoholowe i napitki,kieliszek,25 
Bourbon,0,kcal,g,napoje alkoholowe i napitki,kieliszek,44 
Brandy,0,kcal,g,napoje alkoholowe i napitki,kieliszek,44 
Canadian Whiskey,0,kcal,g,napoje alkoholowe i napitki,kieliszek,44 
Chambord,0,kcal,g,napoje alkoholowe i napitki,kieliszek,44 
Cointreau,0,kcal,g,napoje alkoholowe i napitki,lampka,150 
Cydr,0,kcal,g,napoje alkoholowe i napitki,kieliszek,44 
Drambuie,0,kcal,g,napoje alkoholowe i napitki,lampka,150 
Frangelico,0,kcal,g,napoje alkoholowe i napitki,kieliszek,44 
Gin,0,kcal,g,napoje alkoholowe i napitki,kieliszek,44 
Glenfiddich,0,kcal,g,napoje alkoholowe i napitki,kieliszek,25 
Grand Marnier,0,kcal,g,napoje alkoholowe i napitki,kieliszek,44 
Grzaniec,0,kcal,g,napoje alkoholowe i napitki,kieliszek,44 
Jack Daniel’s,0,kcal,g,napoje alkoholowe i napitki,lampka,150 
Jagermeister,0,kcal,g,napoje alkoholowe i napitki,kieliszek,44 
Jim Beam,0,kcal,g,napoje alkoholowe i napitki,kieliszek,25 
Kahlua,0,kcal,g,napoje alkoholowe i napitki,kieliszek,44 
Koniak,0,kcal,g,napoje alkoholowe i napitki,kieliszek,25 
Likier,0,kcal,g,napoje alkoholowe i napitki,kieliszek,44 
Midori,0,kcal,g,napoje alkoholowe i napitki,kieliszek,25 
Miód pitny,0,kcal,g,napoje alkoholowe i napitki,kieliszek,44 
Piwo,0,kcal,g,napoje alkoholowe i napitki,lampka,150 
Poncz,0,kcal,g,napoje alkoholowe i napitki,butelka,355 
Prosecco,0,kcal,g,napoje alkoholowe i napitki,szklanka,237 
Rum,0,kcal,g,napoje alkoholowe i napitki,lampka,100 
